,dni,ghi,temperature
212,0.0,0.0,9.3
213,0.0,0.0,9.3
214,0.0,0.0,9.3
215,0.0,0.0,9.2
216,0.0,0.0,9.2
217,0.0,0.0,9.2
218,0.0,0.0,9.1
219,0.0,0.0,9.1
220,0.0,0.0,9.0
221,0.0,0.0,9.0
222,0.0,0.0,8.9
223,0.0,0.0,8.9
224,0.0,0.0,8.9
225,0.0,0.0,8.8
226,0.0,0.0,8.8
227,0.0,0.0,8.7
228,0.0,0.0,8.7
229,0.0,0.0,8.6
230,0.0,0.0,8.6
231,0.0,0.0,8.5
232,0.0,0.0,8.5
233,0.0,0.0,8.4
234,0.0,0.0,8.4
235,0.0,0.0,8.3
236,0.0,0.0,8.3
237,0.0,0.0,8.2
238,0.0,0.0,8.2
239,0.0,0.0,8.1
240,0.0,0.0,8.1
241,0.0,0.0,8.0
242,0.0,0.0,7.9
243,0.0,0.0,7.9
244,0.0,0.0,7.8
245,0.0,0.0,7.8
246,0.0,0.0,7.7
247,0.0,0.0,7.6
248,0.0,0.0,7.6
249,0.0,0.0,7.5
250,0.0,0.0,7.5
251,0.0,0.0,7.4
252,0.0,0.0,7.4
253,0.0,0.0,7.3
254,0.0,0.0,7.3
255,0.0,0.0,7.2
256,0.0,0.0,7.2
257,0.0,0.0,7.2
258,0.0,0.0,7.1
259,0.0,0.0,7.1
260,0.0,0.0,7.0
261,0.0,0.0,7.0
262,0.0,0.0,6.9
263,0.0,0.0,6.9
264,0.0,0.0,6.9
265,0.0,0.0,6.8
266,0.0,0.0,6.8
267,0.0,0.0,6.8
268,0.0,0.0,6.7
269,0.0,0.0,6.7
270,0.0,0.0,6.7
271,0.0,0.0,6.7
272,0.0,0.0,6.6
273,0.0,0.0,6.6
274,0.0,0.0,6.6
275,0.0,0.0,6.5
276,0.0,0.0,6.5
277,0.0,0.0,6.5
278,0.0,0.0,6.5
279,0.0,0.0,6.5
280,0.0,0.0,6.5
281,0.0,0.0,6.5
282,0.0,0.0,6.5
283,0.0,0.0,6.5
284,0.0,0.0,6.5
285,0.0,0.0,6.5
286,0.0,0.0,6.5
287,0.0,0.0,6.5
