System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[  97,  40] =          -500 + j          500
[  41,  41] =   505.0313062 + j -504.9554783
[  42,  41] =  -2.360457112 + j  1.701759271
[  98,  41] =          -500 + j          500
[  42,  42] =   505.0313062 + j -504.9554783
[  99,  42] =          -500 + j          500
[  43,  43] =   507.3786132 + j -507.2674135
[  44,  43] =  -3.461705459 + j  2.495700954
[  45,  43] =  -3.461705459 + j  2.495700954
[  46,  43] =  -7.378613219 + j  7.267417819
[  47,  43] =   3.461705459 + j -2.495703055
[  48,  43] =   3.461705459 + j -2.495703055
[  44,  44] =   507.3786132 + j -507.2674135
[  45,  44] =  -3.461705459 + j  2.495700954
[  46,  44] =   3.461705459 + j -2.495703055
[  47,  44] =  -7.378613219 + j  7.267417819
[  48,  44] =   3.461705459 + j -2.495703055
[  45,  45] =   507.3786132 + j -507.2674135
[  46,  45] =   3.461705459 + j -2.495703055
[  47,  45] =   3.461705459 + j -2.495703055
[  48,  45] =  -7.378613219 + j  7.267417819
[  46,  46] =   507.3786132 + j -507.2674135
[  47,  46] =  -3.461705459 + j  2.495700954
[  48,  46] =  -3.461705459 + j  2.495700954
[  94,  46] =          -500 + j          500
[  47,  47] =   507.3786132 + j -507.2674135
[  48,  47] =  -3.461705459 + j  2.495700954
[  95,  47] =          -500 + j          500
[  48,  48] =   507.3786132 + j -507.2674135
[  96,  48] =          -500 + j          500
[  49,  49] =   521.9120991 + j -534.9625725
[  50,  49] =  -6.178762112 + j  8.000520556
[  51,  49] =  -6.178762112 + j  8.000520556
[  50,  50] =   521.9120991 + j -534.9625725
[  51,  50] =  -6.178762112 + j  8.000520556
[  51,  51] =   521.9120991 + j -534.9625725
[  52,  52] =    507.102119 + j -511.3320201
[  53,  52] =  -2.002651761 + j  2.593117503
[  54,  52] =  -2.002651761 + j  2.593117503
[  58,  52] =          -500 + j          500
[  53,  53] =    507.102119 + j -511.3320201
[  54,  53] =  -2.002651761 + j  2.593117503
[  59,  53] =          -500 + j          500
[  54,  54] =    507.102119 + j -511.3320201
[  60,  54] =          -500 + j          500
[  55,  55] =   506.2127527 + j -509.9129623
[  56,  55] =  -1.751868718 + j  2.268393081
[  57,  55] =  -1.751868718 + j  2.268393081
[  58,  55] =  -6.212752708 + j  9.912962512
[  59,  55] =   1.751868718 + j -2.268393163
[  60,  55] =   1.751868718 + j -2.268393163
[  56,  56] =   506.2127527 + j -509.9129623
[  57,  56] =  -1.751868718 + j  2.268393081
[  58,  56] =   1.751868718 + j -2.268393163
[  59,  56] =  -6.212752708 + j  9.912962512
[  60,  56] =   1.751868718 + j -2.268393163
[  57,  57] =   506.2127527 + j -509.9129623
[  58,  57] =   1.751868718 + j -2.268393163
[  59,  57] =   1.751868718 + j -2.268393163
[  60,  57] =  -6.212752708 + j  9.912962512
[  58,  58] =   1006.212753 + j -1009.912962
[  59,  58] =  -1.751868718 + j  2.268393081
[  60,  58] =  -1.751868718 + j  2.268393081
[  90,  58] =          -500 + j          500
[  59,  59] =   1006.212753 + j -1009.912962
[  60,  59] =  -1.751868718 + j  2.268393081
[  91,  59] =          -500 + j          500
[  60,  60] =   1006.212753 + j -1009.912962
[  92,  60] =          -500 + j          500
[  61,  61] =   502.4875691 + j -503.9691225
[  62,  61] = -0.7014434204 + j 0.9082581826
[  63,  61] = -0.7014434204 + j 0.9082581826
[  62,  62] =   502.4875691 + j -503.9691225
[  63,  62] = -0.7014434204 + j 0.9082581826
[  63,  63] =   502.4875691 + j -503.9691225
[  64,  64] =   500007.8841 + j -500012.5797
[  65,  64] =  -2.223147535 + j  2.878624696
[  66,  64] =  -2.223147535 + j  2.878624696
[  65,  65] =   500007.8841 + j -500012.5797
[  66,  65] =  -2.223147535 + j  2.878624696
[  66,  66] =   500007.8841 + j -500012.5797
[  67,  67] =   500021.7931 + j -500034.7727
[  68,  67] =  -6.145204873 + j  7.957068447
[ 100,  67] =  0.1837952207 + j-0.2379857679
[ 101,  67] = -0.6518035532 + j  1.040006659
[ 102,  67] =  0.1837952207 + j-0.2379857679
[  68,  68] =   21.79309318 + j -34.77268678
[ 100,  68] =  0.1837952207 + j-0.2379857679
[ 101,  68] =  0.1837952207 + j-0.2379857679
[ 102,  68] = -0.6518035532 + j  1.040006659
[  69,  69] =   505.9068004 + j   -509.42479
[  70,  69] =  -1.665596444 + j  2.156684114
[  71,  69] =  -1.665596444 + j  2.156684114
[ 100,  69] =          -500 + j          500
[  70,  70] =   505.9068004 + j   -509.42479
[  71,  70] =  -1.665596444 + j  2.156684114
[ 101,  70] =          -500 + j          500
[  71,  71] =   505.9068004 + j   -509.42479
[ 102,  71] =          -500 + j          500
[  72,  72] =    517.403845 + j  -517.141568
[  73,  72] =  -8.165082452 + j  5.886583472
[  74,  72] =  -8.165082452 + j  5.886583472
[  75,  72] =  -17.40384502 + j  17.14156979
[  76,  72] =   8.165082452 + j -5.886584363
[  77,  72] =   8.165082452 + j -5.886584363
[  97,  72] =          -500 + j          500
[  73,  73] =    517.403845 + j  -517.141568
[  74,  73] =  -8.165082452 + j  5.886583472
[  75,  73] =   8.165082452 + j -5.886584363
[  76,  73] =  -17.40384502 + j  17.14156979
[  77,  73] =   8.165082452 + j -5.886584363
[  98,  73] =          -500 + j          500
[  74,  74] =    517.403845 + j  -517.141568
[  75,  74] =   8.165082452 + j -5.886584363
[  76,  74] =   8.165082452 + j -5.886584363
[  77,  74] =  -17.40384502 + j  17.14156979
[  99,  74] =          -500 + j          500
[  75,  75] =    517.403845 + j  -517.141568
[  76,  75] =  -8.165082452 + j  5.886583472
[  77,  75] =  -8.165082452 + j  5.886583472
[  76,  76] =    517.403845 + j  -517.141568
[  77,  76] =  -8.165082452 + j  5.886583472
[  77,  77] =    517.403845 + j  -517.141568
[  78,  78] =   521.2330521 + j -520.9130694
[  79,  78] =  -9.961570045 + j  7.181754359
[  80,  78] =  -9.961570045 + j  7.181754359
[  81,  78] =  -21.23305211 + j  20.91307088
[  82,  78] =   9.961570045 + j -7.181755089
[  83,  78] =   9.961570045 + j -7.181755089
[  79,  79] =   521.2330521 + j -520.9130694
[  80,  79] =  -9.961570045 + j  7.181754359
[  81,  79] =   9.961570045 + j -7.181755089
[  82,  79] =  -21.23305211 + j  20.91307088
[  83,  79] =   9.961570045 + j -7.181755089
[  80,  80] =   521.2330521 + j -520.9130694
[  81,  80] =   9.961570045 + j -7.181755089
[  82,  80] =   9.961570045 + j -7.181755089
[  83,  80] =  -21.23305211 + j  20.91307088
[  81,  81] =   521.2330521 + j -520.9130694
[  82,  81] =  -9.961570045 + j  7.181754359
[  83,  81] =  -9.961570045 + j  7.181754359
[  82,  82] =   521.2330521 + j -520.9130694
[  83,  82] =  -9.961570045 + j  7.181754359
[  83,  83] =   521.2330521 + j -520.9130694
[  84,  84] =   516.1752573 + j -515.9314948
[  85,  84] =  -7.588685668 + j  5.471032389
[  86,  84] =  -7.588685668 + j  5.471032389
[  87,  84] =  -16.17525727 + j   15.9314968
[  88,  84] =   7.588685668 + j -5.471033348
[  89,  84] =   7.588685668 + j -5.471033348
[  97,  84] =          -500 + j          500
[  85,  85] =   516.1752573 + j -515.9314948
[  86,  85] =  -7.588685668 + j  5.471032389
[  87,  85] =   7.588685668 + j -5.471033348
[  88,  85] =  -16.17525727 + j   15.9314968
[  89,  85] =   7.588685668 + j -5.471033348
[  98,  85] =          -500 + j          500
[  86,  86] =   516.1752573 + j -515.9314948
[  87,  86] =   7.588685668 + j -5.471033348
[  88,  86] =   7.588685668 + j -5.471033348
[  89,  86] =  -16.17525727 + j   15.9314968
[  99,  86] =          -500 + j          500
[  87,  87] =   516.1752573 + j -515.9314948
[  88,  87] =  -7.588685668 + j  5.471032389
[  89,  87] =  -7.588685668 + j  5.471032389
[  88,  88] =   516.1752573 + j -515.9314948
[  89,  88] =  -7.588685668 + j  5.471032389
[  89,  89] =   516.1752573 + j -515.9314948
[  90,  90] =   509.2214281 + j -514.7135536
[  91,  90] =  -2.600253404 + j  3.366917215
[  92,  90] =  -2.600253404 + j  3.366917215
[  91,  91] =   509.2214281 + j -514.7135536
[  92,  91] =  -2.600253404 + j  3.366917215
[  92,  92] =   509.2214281 + j -514.7135536
[  93,  93] =       1000000 + j     -1000000
[  94,  94] =          1000 + j        -1000
[  95,  94] =             0 + j-1.256637061E-11
[  96,  94] =             0 + j-1.256637061E-11
[  95,  95] =          1000 + j        -1000
[  96,  95] =             0 + j-1.256637061E-11
[  96,  96] =          1000 + j        -1000
[  97,  97] =          1500 + j        -1500
[  98,  97] =             0 + j-1.884955592E-11
[  99,  97] =             0 + j-1.884955592E-11
[  98,  98] =          1500 + j        -1500
[  99,  98] =             0 + j-1.884955592E-11
[  99,  99] =          1500 + j        -1500
[ 100, 100] =   500.6518036 + j -501.0400048
[ 101, 100] = -0.1837952207 + j 0.2379849812
[ 102, 100] = -0.1837952207 + j 0.2379849812
[ 101, 101] =   500.6518036 + j -501.0400048
[ 102, 101] = -0.1837952207 + j 0.2379849812
[ 102, 102] =   500.6518036 + j -501.0400048
